\;who;text;Новый вариант;;;;;;;;;;;;;;;;;;;;;
148;ID_35_ROUND_5_GG_ANSWER_RESULT = ;Секс и наркотики.;В жизни столько развлечений. Попробуй съездить в Лас-Вегас!;;;;;;;;;;;;;;;;;;;;;
149;ID_35_ROUND_5_GG_ANSWER_RESULT = suicide;Возьми отпуск.;Может, тебе просто стоит где-нибудь отдохнуть?;;;;;;;;;;;;;;;;;;;;;
150;ID_35_ROUND_5_GG_ANSWER_RESULT = ;Свой гараж-это ответ, который ты ищешь.;Тебе просто нужно на что-то отвлечься. Не пробовал найти хобби?;;;;;;;;;;;;;;;;;;;;;
151;ID_35_m_a_ROUND_5_SUICIDE_ON_DIE;Отпуск в аду...;Ты прав. Отдохну на том свете...;;;;;;;;;;;;;;;;;;;;;
152;ID_35_m_a_ROUND_5SUICIDE_ON_GO_HOME;Хм, может и выход.;Знаешь, может это и выход. Спасибо.;;;;;;;;;;;;;;;;;;;;;
153;ID_40_m_a_ROUND_1_SUICIDE_TEXT;Это секретная информация.;А? Не подходи! Это секретная информация.;;;;;;;;;;;;;;;;;;;;;
154;ID_40_ROUND_1_GG_ANSWER_RESULT = next;Что?;О чем это ты?;;;;;;;;;;;;;;;;;;;;;
155;ID_40_ROUND_1_GG_ANSWER_RESULT = next;У меня есть доступ.;Не волнуйся, у меня есть к ней доступ.;;;;;;;;;;;;;;;;;;;;;
156;ID_40_ROUND_1_GG_ANSWER_RESULT = next;Ну ок, я тут постою.;Хорошо, хорошо. Может, все же хочешь поговорить?;;;;;;;;;;;;;;;;;;;;;
157;ID_40_m_a_ROUND_2_SUICIDE_TEXT;Ладно ладно...Моя женщина шпион у русских. Была шпионом...;"Ох, так и быть, расскажу. Моя жена - настоящий шпион. Точнее, она им была...
Она работала под прикрытием в России.";;;;;;;;;;;;;;;;;;;;;
158;ID_40_ROUND_2_GG_ANSWER_RESULT = next;И что с ней стало?;Что же с ней случилось?;;;;;;;;;;;;;;;;;;;;;
159;ID_40_ROUND_2_GG_ANSWER_RESULT = suicide;А ты то кто?;Ты тоже секретный агент?;;;;;;;;;;;;;;;;;;;;;
160;ID_40_ROUND_2_GG_ANSWER_RESULT = next;Это шутка?;Вот это да... Такого я еще не слышал. ;;;;;;;;;;;;;;;;;;;;;
161;ID_40_m_a_ROUND_2_SUICIDE_ON_DIE;Это секретная информация.;Нет! Я ничего не расскажу.;;;;;;;;;;;;;;;;;;;;;
162;ID_40_m_a_ROUND_3_SUICIDE_TEXT;Чертовы красные раскусили ее...Ей пришлось принять цианид.;Чертовы красные раскусили ее... У нее не было выхода. По инструкции, ей пришлось покончить с собой. Она раскусила капсулу с цианидом, и...;;;;;;;;;;;;;;;;;;;;;
163;ID_40_ROUND_3_GG_ANSWER_RESULT = next;Ну с товарищами шутки плохи.;Да, я слышал, что красные делают с пойманными шпионами.;;;;;;;;;;;;;;;;;;;;;
164;ID_40_ROUND_3_GG_ANSWER_RESULT = suicide;Союз нерушимый республик свободных...;Она знала, на что шла. ;;;;;;;;;;;;;;;;;;;;;
165;ID_40_ROUND_3_GG_ANSWER_RESULT = next;Я сожалею о твоей утрате...;Это ужасно, мне очень жаль.;;;;;;;;;;;;;;;;;;;;;
166;ID_40_m_a_ROUND_3_SUICIDE_ON_DIE;ТЫ ТОЖЕ КРАСНЫЙ!;Ты что, тоже красный?! Я вам не дамся!;;;;;;;;;;;;;;;;;;;;;
167;ID_40_m_a_ROUND_4_SUICIDE_TEXT;Она обещала все бросить, после этой миссии. Мы хотели уехать в Италию...;Она обещала, что это будет ее последним заданием. Мы даже планировали отдохнуть где-нибудь после ее возвращения. В Италии, например.;;;;;;;;;;;;;;;;;;;;;
168;ID_40_ROUND_4_GG_ANSWER_RESULT = next;Романтично...;Звучит очень романтично.;;;;;;;;;;;;;;;;;;;;;
169;ID_40_ROUND_4_GG_ANSWER_RESULT = next;Она бы не хотела, чтобы ты тоже умирал.;Думаешь, она бы хотела, чтобы ты покончил с собой?;;;;;;;;;;;;;;;;;;;;;
170;ID_40_ROUND_4_GG_ANSWER_RESULT = suicide;Это точно не сюжет фильма?;Это похоже на сюжет какого-то шпионского боевика.;;;;;;;;;;;;;;;;;;;;;
171;ID_40_m_a_ROUND_4_SUICIDE_ON_DIE;Прощай милая....;Да пошел ты! Я иду к тебе, любимая...;;;;;;;;;;;;;;;;;;;;;
172;ID_40_m_a_ROUND_5_SUICIDE_TEXT;Зачем эта вражда...Простые люди гибнут...;"Я не знаю... Зачем вся эта вражда? Из-за нее гибнет столько людей.
Вот и моя жена мертва...";;;;;;;;;;;;;;;;;;;;;
173;ID_40_ROUND_5_GG_ANSWER_RESULT = ;Не задавай вопросов. Мы должны победить!;Если ты сдашься сейчас, ее смерть была напрасна.;;;;;;;;;;;;;;;;;;;;;
174;ID_40_ROUND_5_GG_ANSWER_RESULT = suicide;Да каждый день люди гибнут...;Знаешь, люди гибнут каждый день и по другим причинам.;;;;;;;;;;;;;;;;;;;;;
175;ID_40_ROUND_5_GG_ANSWER_RESULT = ;Ты не вернешь ее...;Но так ты ее точно не вернешь. Должен быть другой выход.;;;;;;;;;;;;;;;;;;;;;
176;ID_40_m_a_ROUND_5_SUICIDE_ON_DIE;Мне все равно.;Мне плевать на других. Я скоро увижу тебя, милая...;;;;;;;;;;;;;;;;;;;;;
177;ID_40_m_a_ROUND_5SUICIDE_ON_GO_HOME;Я отомщу...Кому-нибудь...;Ты прав. Я... я должен отомстить за нее. Я найду тех, кто виноват в ее смерти.;;;;;;;;;;;;;;;;;;;;;
178;ID_2_m_o_ROUND_1_SUICIDE_TEXT;Я...Я джон. У меня была жена...;Ой, я тебя и не заметил. Я... я Джон. Недавно от меня ушла жена.;;;;;;;;;;;;;;;;;;;;;
179;ID_2_ROUND_1_GG_ANSWER_RESULT = next;И что с твоей женой, Джон? ;Привет, Джон. Меня зовут Уилл. Расскажешь мне, что произошло?;;;;;;;;;;;;;;;;;;;;;
180;ID_2_ROUND_1_GG_ANSWER_RESULT = suicide;Это все из-за женщины что ли? ;Неужели ты покончишь с собой из-за женщины?;;;;;;;;;;;;;;;;;;;;;
181;ID_2_ROUND_1_GG_ANSWER_RESULT = next;Что, из-за этих женщин расстраиваться, правда Джон?;Почему она ушла от тебя, Джон?;;;;;;;;;;;;;;;;;;;;;
182;ID_2_m_o_ROUND_1_SUICIDE_ON_DIE;Прощай, Элизабет...;Да. Прощай, Элизабет...;;;;;;;;;;;;;;;;;;;;;
183;ID_2_m_o_ROUND_2_SUICIDE_TEXT;Она сбежала с каким-то черным парнем, он вроде бы продает кокаин. А что я мог сделать? Возраст берет свое, денег не хватает. Что я мог сделать…;Я не знаю... Она сбежала с каким-то молодым черным парнем. Я слышал, что он торгует наркотиками. Я пытался ее удержать, но... Что я мог сделать? У нас почти не было денег.;;;;;;;;;;;;;;;;;;;;;
184;ID_2_ROUND_2_GG_ANSWER_RESULT = suicide;Надо было ее воспитывать лучше. ;Нельзя так расстраиваться из-за какой-то юбки.;;;;;;;;;;;;;;;;;;;;;
185;ID_2_ROUND_2_GG_ANSWER_RESULT = next;Согласен это очень тяжело пережить.;Я понимаю. Это очень тяжело пережить.;;;;;;;;;;;;;;;;;;;;;
186;ID_2_ROUND_2_GG_ANSWER_RESULT = next;Расскажи мне о своих чувствах.;Пожалуйста, расскажи мне о своих чувствах.;;;;;;;;;;;;;;;;;;;;;
187;ID_2_m_o_ROUND_2_SUICIDE_ON_DIE;Прощай, Элизабет...;Не смей так говорить о ней! Прощай, Элизабет...;;;;;;;;;;;;;;;;;;;;;
188;ID_2_m_o_ROUND_3_SUICIDE_TEXT;Я так любил ее... А теперь только болезненная пустота. *плачет*;Я так сильно любил ее. А теперь, когда она ушла, осталась только боль и пустота...;;;;;;;;;;;;;;;;;;;;;
189;ID_2_ROUND_3_GG_ANSWER_RESULT = next;*промолчать*;Такое порой случается. Нужно уметь двигаться дальше.;;;;;;;;;;;;;;;;;;;;;
190;ID_2_ROUND_3_GG_ANSWER_RESULT = next;Все будет хорошо, Джон, ты справишься с этим.;Все будет хорошо, Джон. Мне тоже разбивали сердце.;;;;;;;;;;;;;;;;;;;;;
191;ID_2_ROUND_3_GG_ANSWER_RESULT = suicide;Она этого не стоит Джон.;Она того не стоит, Джон. Найдешь себе другую девушку.;;;;;;;;;;;;;;;;;;;;;
192;ID_2_m_o_ROUND_3_SUICIDE_ON_DIE;Если она этого не стоит — то я тоже ничего не стою.;Кроме нее мне уже никто не нужен!;;;;;;;;;;;;;;;;;;;;;
193;ID_2_m_o_ROUND_4_SUICIDE_TEXT;Я не знаю, что делать… ;Но я даже не знаю, как мне теперь жить.;;;;;;;;;;;;;;;;;;;;;
194;ID_2_ROUND_4_GG_ANSWER_RESULT = save;Найди нормальную женщину, Джон.;Вот увидишь, однажды ты встретишь новую любовь.;;;;;;;;;;;;;;;;;;;;;
195;ID_2_ROUND_4_GG_ANSWER_RESULT = suicide;Все будет хорошо.;Ты справишься с этим. Все обязательно наладится.;;;;;;;;;;;;;;;;;;;;;
196;ID_2_ROUND_4_GG_ANSWER_RESULT = save;Время пожить для себя!;Возможно, тебе пора отдохнуть и пожить для себя? Займись чем-нибудь интересным.;;;;;;;;;;;;;;;;;;;;;
197;ID_2_m_o_ROUND_4_SUICIDE_ON_DIE;Без нее уже не будет хорошо..;Без нее уже ничего не наладится...;;;;;;;;;;;;;;;;;;;;;
198;ID_2_m_o_ROUND_4SUICIDE_ON_GO_HOME;Ты прав...Пойду домой.;Наверное, ты прав. Хорошо, я пойду домой.;;;;;;;;;;;;;;;;;;;;;
199;ID_7_ROUND_1_SUICIDE_TEXT;Мне слишком больно, мне осталось всего пару месяцев я не могу терпеть...;Оставь меня в покое. Я больше не могу терпеть эту боль. Я хочу умереть. Прошу, дай мне побыть одному.;;;;;;;;;;;;;;;;;;;;;
200;ID_7_ROUND_1_GG_ANSWER_RESULT = suicide;Потерпи еще.;Не может быть. Не бывает такой сильной боли.;;;;;;;;;;;;;;;;;;;;;
201;ID_7_ROUND_1_GG_ANSWER_RESULT = next;Чем ты болен, поделись со мной?;Ты чем-то болен, да? Пожалуйста, расскажи мне.;;;;;;;;;;;;;;;;;;;;;
202;ID_7_ROUND_1_GG_ANSWER_RESULT = next;А как же друзья и близкие?;Возможно, тебе еще можно помочь?;;;;;;;;;;;;;;;;;;;;;
203;ID_7_ROUND_1_SUICIDE_ON_DIE;Я свободен...;Вот тут ты ошибаешься...;;;;;;;;;;;;;;;;;;;;;
204;ID_7_ROUND_2_SUICIDE_TEXT;У меня рак и я не хочу причинять никому боль... И жить я тоже больше не хочу...;У меня... у меня рак. Финальная стадия. Мне осталось жить всего пара месяцев, а может и того меньше. Я не хочу прожить остаток жизни в болезненной агонии..;;;;;;;;;;;;;;;;;;;;;
205;ID_7_ROUND_2_GG_ANSWER_RESULT = suicide;Борись! Ты сильный!;Ты должен бороться до конца, вдруг еще есть шанс?;;;;;;;;;;;;;;;;;;;;;
206;ID_7_ROUND_2_GG_ANSWER_RESULT = next;А как же успеть все до смерти составь список и прочее?;У тебя еще есть время. Разве ты не хочешь попробовать сделать что-нибудь, что никогда не делал?;;;;;;;;;;;;;;;;;;;;;
207;ID_7_ROUND_2_GG_ANSWER_RESULT = suicide;Неужели ты не можешь это терпеть?;Да брось, у многих и похуже случаи бывали.;;;;;;;;;;;;;;;;;;;;;
208;ID_7_ROUND_2_SUICIDE_ON_DIE;(корчится о боли);Нет, это невыносимо!;;;;;;;;;;;;;;;;;;;;;
209;ID_7_ROUND_3_SUICIDE_TEXT;Я живой труп. Просто оставь меня одного.;Мне уже все равно. Боль не дает мне покоя. С ней я ничего не смогу сделать. Есть только один выход.;;;;;;;;;;;;;;;;;;;;;
210;ID_7_ROUND_3_GG_ANSWER_RESULT = next;Я поддержу тебя;Помни, что ты не один. В мире много тяжело больных людей.;;;;;;;;;;;;;;;;;;;;;
211;ID_7_ROUND_3_GG_ANSWER_RESULT = suicide;Решение слабака.;Похоже, ты окончательно сдался.;;;;;;;;;;;;;;;;;;;;;
212;ID_7_ROUND_3_GG_ANSWER_RESULT = next;Ты предаешь всех кто любит тебя. И меня.;Этим поступком ты предашь всех, кто поддерживал тебя все это время.;;;;;;;;;;;;;;;;;;;;;
213;ID_7_ROUND_3_SUICIDE_ON_DIE;...;Ты прав. Это конец. ;;;;;;;;;;;;;;;;;;;;;
214;ID_7_ROUND_4_SUICIDE_TEXT;Я не думаю о них я думаю о себе. О МОЕЙ боли.;Почему я должен думать о других? Они не чувствуют того, что чувствую я. Это МОЯ боль. И это МОЕ решение.;;;;;;;;;;;;;;;;;;;;;
215;ID_7_ROUND_4_GG_ANSWER_RESULT = suicide;Не будь эгоистом!;Нельзя все время думать только о себе.;;;;;;;;;;;;;;;;;;;;;
